id,created_at,updated_at,course_year,subject
50,"2025-11-01 02:22:52.544546","2025-11-01 02:22:52.544546",5th,"EPIDEMIOLOGY & MILITARY EPIDEMIOLOGY"
51,"2025-11-01 02:23:07.559255","2025-11-01 02:23:07.559255",5th,"CHILDREN’S INFECTIOUS DISEASES"
52,"2025-11-01 02:23:20.574922","2025-11-01 02:23:20.574922",5th,ONCOLOGY
53,"2025-11-01 02:23:42.300495","2025-11-01 02:23:42.300495",5th,"URGENT STATES / MEDICINE OF CATASTROPHES"
54,"2025-11-01 02:23:57.159360","2025-11-01 02:23:57.159360",5th,"FORENSIC MEDICINE"
55,"2025-11-01 02:24:17.876690","2025-11-01 02:24:17.876690",5th,"BASICS OF LAW"
56,"2025-11-01 02:24:32.514727","2025-11-01 02:24:32.514727",5th,"MILITARY FIELD SURGERY"
57,"2025-11-01 02:25:58.265052","2025-11-01 02:25:58.265052",6th,HYGIENE
58,"2025-11-01 02:26:39.282744","2025-11-01 02:26:39.282744",6th,"SOCIAL MEDICINE & ORGANISATION OF HEALTH PROTECTION SERVICES FOR 6TH YEAR"
59,"2025-11-01 02:27:09.567595","2025-11-01 02:27:09.567595",6th,"ECONOMICS OF HEALTH PROTECTION 6TH YEAR"
60,"2025-11-01 02:27:27.176056","2025-11-01 02:27:27.176056",6th,"INTERNAL MEDICINE"
61,"2025-11-01 02:27:42.638668","2025-11-01 02:27:42.638668",6th,"INFECTIOUS DISEASES"
62,"2025-11-01 02:27:57.661718","2025-11-01 02:27:57.661718",6th,"TROPICAL DISEASES"
63,"2025-11-01 02:28:11.921297","2025-11-01 02:28:11.921297",6th,PEDIATRICS
64,"2025-11-01 02:28:34.472403","2025-11-01 02:28:34.472403",6th,"ONCOLOGY 6TH YEAR"
65,"2025-11-01 02:28:54.047299","2025-11-01 02:28:54.048308",6th,"CLINICAL PHARMACOLOGY"
66,"2025-11-01 02:29:19.007679","2025-11-01 02:29:19.007679",6th,"CHILDREN’S INFECTIOUS DISEASES 6TH YEAR"
67,"2025-11-01 02:29:38.406054","2025-11-01 02:29:38.406054",6th,"OBSTETRICS & GYNECOLOGY"
68,"2025-11-01 02:30:09.954133","2025-11-01 02:30:09.954133",6th,"PAEDIATRIC SURGERY 6TH YEAR"
69,"2025-11-01 02:30:35.848826","2025-11-01 02:30:35.848826",6th,"RHEUMATOLOGY (INTENSIVE CARE)"
70,"2025-11-01 02:30:49.649789","2025-11-01 02:30:49.649789",6th,"SURGICAL DISEASES"
71,"2025-11-01 02:31:02.351173","2025-11-01 02:31:02.351173",6th,"CLINICAL IMMUNOLOGY & ALLERGOLOGY"
72,"2025-11-01 02:31:28.282109","2025-11-01 02:31:28.282109",6th,"NEUROSURGERY 6TH YEAR"
73,"2025-11-01 02:31:43.985567","2025-11-01 02:31:43.985567",6th,THERAPY
102,"2025-11-01 16:08:49.422914","2025-11-01 16:08:49.422914",7th,ENGLISH
152,"2025-11-01 16:24:43.527933","2025-11-01 16:24:43.527933",7th,UKRAINIA
